time,proc1,proc2,proc3
1447610774.142964,-1.0,-2.5,-0.25
1447610774.163583,-1.0,-2.5,-0.475
1447610774.183713,-1.0,-2.5,-0.6775
1447610774.204346,-1.0,-2.5,-0.85975
1447610774.224544,-1.0,-2.5,-1.023775
1447610774.24552,-1.0,-2.5,-1.1713975
1447610774.266051,-1.0,-2.5,-1.30425775
1447610774.286248,-1.0,-2.5,-1.4238319750000001
1447610774.307192,-1.0,-2.5,-1.5314487775
1447610774.32822,-1.0,-2.5,-1.6283038997500001
1447610774.349207,-1.0,-2.5,-1.7154735097749998
1447610774.370325,-1.0,-2.5,-1.7939261587974997
1447610774.391356,-1.0,-2.5,-1.8645335429177496
1447610774.412493,-1.0,-2.5,-1.9280801886259744
1447610774.433447,-1.0,-2.5,-1.9852721697633768
1447610774.454447,-1.0,-2.5,-2.036744952787039
1447610774.47517,-1.0,-2.5,-2.0830704575083354
1447610774.49612,-1.0,-2.5,-2.1247634117575016
1447610774.516499,-1.0,-2.5,-2.1622870705817516
1447610774.537397,-1.0,-2.5,-2.1960583635235764
1447610774.558425,-1.0,-2.5,-2.2264525271712188
1447610774.579236,-1.0,-2.5,-2.253807274454097
1447610774.600193,-1.0,-2.5,-2.2784265470086873
1447610774.621228,-1.0,-2.5,-2.300583892307819
1447610774.641482,-1.0,-2.5,-2.320525503077037
1447610774.662549,-1.0,-2.5,-2.338472952769333
1447610774.683479,-1.0,-2.5,-2.3546256574923996
1447610774.704281,-1.0,-2.5,-2.3691630917431596
1447610774.726418,-1.0,-2.5,-2.382246782568844
1447610774.747476,-1.0,-2.5,-2.394022104311959
1447610774.768482,-1.0,-2.5,-2.404619893880763
1447610774.78975,-1.0,-2.5,-2.414157904492687
1447610774.810319,-1.0,-2.5,-2.422742114043418
1447610774.830727,-1.0,-2.5,-2.4304679026390765
1447610774.851826,-1.0,-2.5,-2.437421112375169
1447610774.872752,-1.0,-2.5,-2.443679001137652
1447610774.893172,-1.0,-2.5,-2.449311101023887
1447610774.913836,-1.0,-2.5,-2.454379990921498
1447610774.934943,-1.0,-2.5,-2.4589419918293483
1447610774.955164,-1.0,-2.5,-2.4630477926464134
1447610774.976074,-1.0,-2.5,-2.4667430133817723
1447610774.996995,-1.0,-2.5,-2.470068712043595
1447610775.017939,-1.0,-2.5,-2.4730618408392355
1447610775.038357,-1.0,-2.5,-2.475755656755312
1447610775.059246,-1.0,-2.5,-2.4781800910797807
1447610775.08014,-1.0,-2.5,-2.4803620819718026
1447610775.100798,-1.0,-2.5,-2.4823258737746223
1447610775.121342,-1.0,-2.5,-2.4840932863971603
1447610775.142408,1.0,-2.5,-2.4856839577574443
1447610775.163307,1.0,2.5,-1.9871155619817
1447610775.18423,1.0,2.5,-1.53840400578353
1447610775.205123,1.0,2.5,-1.134563605205177
1447610775.226184,1.0,2.5,-0.7711072446846593
1447610775.246488,1.0,2.5,-0.44399652021619335
1447610775.267061,1.0,2.5,-0.14959686819457402
1447610775.287557,1.0,2.5,0.11536281862488337
1447610775.308575,1.0,2.5,0.35382653676239506
1447610775.329529,1.0,2.5,0.5684438830861556
1447610775.349921,1.0,2.5,0.76159949477754
1447610775.370467,1.0,2.5,0.935439545299786
1447610775.391349,1.0,2.5,1.0918955907698074
1447610775.412197,1.0,2.5,1.2327060316928267
1447610775.432335,1.0,2.5,1.359435428523544
1447610775.453244,1.0,2.5,1.4734918856711894
1447610775.474152,1.0,2.5,1.5761426971040704
1447610775.49518,1.0,2.5,1.6685284273936634
1447610775.516098,1.0,2.5,1.751675584654297
1447610775.536373,1.0,2.5,1.8265080261888673
1447610775.556556,1.0,2.5,1.8938572235699804
1447610775.57718,1.0,2.5,1.9544715012129825
1447610775.598169,1.0,2.5,2.0090243510916843
1447610775.619261,1.0,2.5,2.058121915982516
1447610775.640361,1.0,2.5,2.102309724384264
1447610775.661479,1.0,2.5,2.1420787519458377
1447610775.682263,1.0,2.5,2.1778708767512542
1447610775.703375,1.0,2.5,2.210083789076129
1447610775.724287,1.0,2.5,2.239075410168516
1447610775.745379,1.0,2.5,2.265167869151665
1447610775.76598,1.0,2.5,2.2886510822364983
1447610775.786904,1.0,2.5,2.3097859740128484
1447610775.807188,1.0,2.5,2.3288073766115636
1447610775.827579,1.0,2.5,2.345926638950407
1447610775.848664,1.0,2.5,2.3613339750553664
1447610775.86961,1.0,2.5,2.3752005775498297
1447610775.890488,1.0,2.5,2.3876805197948467
1447610775.910745,1.0,2.5,2.398912467815362
1447610775.931487,1.0,2.5,2.409021221033826
1447610775.952592,1.0,2.5,2.4181190989304433
1447610775.973707,1.0,2.5,2.426307189037399
1447610775.994792,1.0,2.5,2.4336764701336593
1447610776.015708,1.0,2.5,2.440308823120293
1447610776.036733,1.0,2.5,2.446277940808264
1447610776.057777,1.0,2.5,2.4516501467274376
1447610776.078819,1.0,2.5,2.456485132054694
1447610776.099891,1.0,2.5,2.4608366188492248
1447610776.120923,1.0,2.5,2.4647529569643023
1447610776.141017,1.0,2.5,2.468277661267872
1447610776.162075,-1.0,-2.5,1.971449895141085
1447610776.183116,-1.0,-2.5,1.5243049056269764
1447610776.203536,-1.0,-2.5,1.1218744150642788
1447610776.224331,-1.0,-2.5,0.7596869735578509
1447610776.244586,-1.0,-2.5,0.43371827620206577
1447610776.265685,-1.0,-2.5,0.1403464485818592
1447610776.286774,-1.0,-2.5,-0.1236881962763267
1447610776.307688,-1.0,-2.5,-0.36131937664869407
1447610776.328619,-1.0,-2.5,-0.5751874389838246
1447610776.3489,-1.0,-2.5,-0.7676686950854422
1447610776.369688,-1.0,-2.5,-0.940901825576898
1447610776.390598,-1.0,-2.5,-1.0968116430192083
1447610776.410776,-1.0,-2.5,-1.2371304787172874
1447610776.431496,-1.0,-2.5,-1.3634174308455587
1447610776.452641,-1.0,-2.5,-1.4770756877610027
1447610776.473709,-1.0,-2.5,-1.5793681189849025
1447610776.494598,-1.0,-2.5,-1.6714313070864122
1447610776.515556,-1.0,-2.5,-1.7542881763777707
1447610776.536324,-1.0,-2.5,-1.8288593587399937
1447610776.556722,-1.0,-2.5,-1.8959734228659944
1447610776.577741,-1.0,-2.5,-1.9563760805793948
1447610776.598797,-1.0,-2.5,-2.0107384725214557
1447610776.61987,-1.0,-2.5,-2.0596646252693103
1447610776.640748,-1.0,-2.5,-2.103698162742379
1447610776.66175,-1.0,-2.5,-2.143328346468141
1447610776.682998,-1.0,-2.5,-2.178995511821327
1447610776.703797,-1.0,-2.5,-2.2110959606391942
1447610776.724714,-1.0,-2.5,-2.239986364575275
1447610776.745585,-1.0,-2.5,-2.2659877281177474
1447610776.766557,-1.0,-2.5,-2.2893889553059728
1447610776.78675,-1.0,-2.5,-2.3104500597753757
1447610776.807628,-1.0,-2.5,-2.329405053797838
1447610776.828734,-1.0,-2.5,-2.346464548418054
1447610776.849654,-1.0,-2.5,-2.361818093576249
1447610776.870541,-1.0,-2.5,-2.3756362842186243
1447610776.891298,-1.0,-2.5,-2.388072655796762
1447610776.912336,-1.0,-2.5,-2.399265390217086
1447610776.933419,-1.0,-2.5,-2.4093388511953773
1447610776.953742,-1.0,-2.5,-2.4184049660758395
1447610776.974515,-1.0,-2.5,-2.4265644694682558
1447610776.995572,-1.0,-2.5,-2.4339080225214302
1447610777.016554,-1.0,-2.5,-2.440517220269287
1447610777.037481,-1.0,-2.5,-2.4464654982423584
1447610777.057758,-1.0,-2.5,-2.4518189484181225
1447610777.078773,-1.0,-2.5,-2.4566370535763102
1447610777.098998,-1.0,-2.5,-2.460973348218679
1447610777.119849,-1.0,-2.5,-2.464876013396811
1447610777.140165,-1.0,-2.5,-2.4683884120571298
1447610777.161146,1.0,2.5,-1.9715495708514168
1447610777.182051,1.0,2.5,-1.524394613766275
1447610777.202251,1.0,2.5,-1.1219551523896474
1447610777.223228,1.0,2.5,-0.7597596371506826
1447610777.244296,1.0,2.5,-0.4337836734356143
1447610777.265548,1.0,2.5,-0.14040530609205287
1447610777.286164,1.0,2.5,0.1236352245171524
1447610777.307074,1.0,2.5,0.36127170206543713
1447610777.327324,1.0,2.5,0.5751445318588935
1447610777.347822,1.0,2.5,0.7676300786730041
1447610777.368775,1.0,2.5,0.9408670708057038
1447610777.389722,1.0,2.5,1.0967803637251334
1447610777.410612,1.0,2.5,1.2371023273526203
1447610777.431229,1.0,2.5,1.363392094617358
1447610777.451772,1.0,2.5,1.4770528851556224
1447610777.472485,1.0,2.5,1.57934759664006
1447610777.493371,1.0,2.5,1.6714128369760541
1447610777.514048,1.0,2.5,1.7542715532784487
1447610777.534963,1.0,2.5,1.8288443979506037
1447610777.5559,1.0,2.5,1.8959599581555433
1447610777.57675,1.0,2.5,1.956363962339989
1447610777.597617,1.0,2.5,2.0107275661059902
1447610777.618523,1.0,2.5,2.0596548094953913
1447610777.638835,1.0,2.5,2.103689328545852
1447610777.659706,1.0,2.5,2.1433203956912665
1447610777.680629,1.0,2.5,2.1789883561221397
1447610777.700953,1.0,2.5,2.2110895205099257
1447610777.721889,1.0,2.5,2.2399805684589333
1447610777.742965,1.0,2.5,2.26598251161304
1447610777.763705,1.0,2.5,2.289384260451736
1447610777.784166,1.0,2.5,2.310445834406562
1447610777.805201,1.0,2.5,2.3294012509659057
1447610777.825778,1.0,2.5,2.346461125869315
1447610777.846789,1.0,2.5,2.3618150132823836
1447610777.866969,1.0,2.5,2.3756335119541454
1447610777.888022,1.0,2.5,2.3880701607587307
1447610777.908416,1.0,2.5,2.3992631446828576
1447610777.929027,1.0,2.5,2.409336830214572
1447610777.949959,1.0,2.5,2.4184031471931147
1447610777.971001,1.0,2.5,2.4265628324738033
1447610777.991472,1.0,2.5,2.433906549226423
1447610778.011948,1.0,2.5,2.4405158943037804
1447610778.032101,1.0,2.5,2.4464643048734023
1447610778.052591,1.0,2.5,2.451817874386062
1447610778.073598,1.0,2.5,2.456636086947456
1447610778.094628,1.0,2.5,2.4609724782527103
1447610778.115757,1.0,2.5,2.464875230427439
1447610778.136751,1.0,2.5,2.468387707384695
1447610778.157857,-1.0,-2.5,1.9715489366462258
1447610778.178769,-1.0,-2.5,1.5243940429816032
1447610778.199755,-1.0,-2.5,1.121954638683443
1447610778.220784,-1.0,-2.5,0.7597591748150986
1447610778.241853,-1.0,-2.5,0.4337832573335887
1447610778.262951,-1.0,-2.5,0.14040493160022982
1447610778.283722,-1.0,-2.5,-0.12363556155979316
1447610778.304839,-1.0,-2.5,-0.3612720054038138
1447610778.325397,-1.0,-2.5,-0.5751448048634324
1447610778.346255,-1.0,-2.5,-0.7676303243770892
1447610778.367096,-1.0,-2.5,-0.9408672919393803
1447610778.387374,-1.0,-2.5,-1.0967805627454423
1447610778.408296,-1.0,-2.5,-1.237102506470898
1447610778.428754,-1.0,-2.5,-1.363392255823808
1447610778.449668,-1.0,-2.5,-1.4770530302414273
1447610778.470094,-1.0,-2.5,-1.5793477272172844
1447610778.490431,-1.0,-2.5,-1.671412954495556
1447610778.510796,-1.0,-2.5,-1.7542716590460004
1447610778.5317,-1.0,-2.5,-1.8288444931414005
1447610778.552602,-1.0,-2.5,-1.8959600438272606
1447610778.573479,-1.0,-2.5,-1.9563640394445343
1447610778.594405,-1.0,-2.5,-2.010727635500081
1447610778.614832,-1.0,-2.5,-2.059654871950073
1447610778.635899,-1.0,-2.5,-2.1036893847550657
1447610778.656693,-1.0,-2.5,-2.143320446279559
1447610778.677783,-1.0,-2.5,-2.1789884016516035
1447610778.6984,-1.0,-2.5,-2.2110895614864434
1447610778.719314,-1.0,-2.5,-2.239980605337799
1447610778.739958,-1.0,-2.5,-2.265982544804019
1447610778.760747,-1.0,-2.5,-2.289384290323617
1447610778.781504,-1.0,-2.5,-2.3104458612912553
1447610778.802557,-1.0,-2.5,-2.32940127516213
1447610778.823446,-1.0,-2.5,-2.346461147645917
1447610778.844011,-1.0,-2.5,-2.361815032881325
1447610778.865049,-1.0,-2.5,-2.3756335295931925
1447610778.886014,-1.0,-2.5,-2.388070176633873
1447610778.906392,-1.0,-2.5,-2.399263158970486
1447610778.926976,-1.0,-2.5,-2.4093368430734374
1447610778.947908,-1.0,-2.5,-2.4184031587660937
1447610778.968723,-1.0,-2.5,-2.426562842889484
1447610778.989791,-1.0,-2.5,-2.433906558600536
1447610779.010563,-1.0,-2.5,-2.4405159027404824
1447610779.03072,-1.0,-2.5,-2.4464643124664343
1447610779.051549,-1.0,-2.5,-2.451817881219791
1447610779.072636,-1.0,-2.5,-2.456636093097812
1447610779.093522,-1.0,-2.5,-2.460972483788031
1447610779.113751,-1.0,-2.5,-2.464875235409228
1447610779.134648,-1.0,-2.5,-2.468387711868305
1447610779.155661,1.0,2.5,-1.9715489406814748
1447610779.17678,1.0,2.5,-1.5243940466133274
1447610779.197895,1.0,2.5,-1.1219546419519948
1447610779.218381,1.0,2.5,-0.7597591777567952
1447610779.239286,1.0,2.5,-0.43378325998111567
1447610779.259742,1.0,2.5,-0.1404049339830041
1447610779.279906,1.0,2.5,0.12363555941529632
1447610779.300781,1.0,2.5,0.3612720034737667
1447610779.321707,1.0,2.5,0.5751448031263899
1447610779.342799,1.0,2.5,0.767630322813751
1447610779.363061,1.0,2.5,0.9408672905323758
1447610779.383852,1.0,2.5,1.0967805614791382
1447610779.404571,1.0,2.5,1.2371025053312243
1447610779.425021,1.0,2.5,1.3633922547981019
1447610779.445912,1.0,2.5,1.4770530293182917
1447610779.466852,1.0,2.5,1.5793477263864626
1447610779.487915,1.0,2.5,1.6714129537478164
1447610779.508854,1.0,2.5,1.7542716583730347
1447610779.529461,1.0,2.5,1.828844492535731
1447610779.5497,1.0,2.5,1.8959600432821577
1447610779.570216,1.0,2.5,1.9563640389539418
1447610779.590401,1.0,2.5,2.0107276350585477
1447610779.611459,1.0,2.5,2.059654871552693
1447610779.63239,1.0,2.5,2.1036893843974234
1447610779.653351,1.0,2.5,2.143320445957681
1447610779.674199,1.0,2.5,2.178988401361913
1447610779.694468,1.0,2.5,2.2110895612257218
1447610779.714615,1.0,2.5,2.23998060510315
1447610779.734766,1.0,2.5,2.265982544592835
1447610779.755528,1.0,2.5,2.2893842901335515
1447610779.77614,1.0,2.5,2.310445861120196
1447610779.796437,1.0,2.5,2.3294012750081765
1447610779.817384,1.0,2.5,2.346461147507359
1447610779.83847,1.0,2.5,2.361815032756623
1447610779.858943,1.0,2.5,2.375633529480961
1447610779.879821,1.0,2.5,2.3880701765328647
1447610779.900723,1.0,2.5,2.3992631588795783
1447610779.920892,1.0,2.5,2.40933684299162
1447610779.94198,1.0,2.5,2.4184031586924584
1447610779.962221,1.0,2.5,2.4265628428232127
1447610779.983319,1.0,2.5,2.433906558540891
1447610780.003834,1.0,2.5,2.440515902686802
1447610780.024563,1.0,2.5,2.446464312418122
1447610780.045634,1.0,2.5,2.45181788117631
1447610780.066531,1.0,2.5,2.456636093058679
1447610780.087668,1.0,2.5,2.460972483752811
1447610780.108732,1.0,2.5,2.46487523537753
1447610780.129686,1.0,2.5,2.4683877118397772
1447610780.150395,1.0,2.5,2.4715489406557998
1447610780.170874,-1.0,-2.5,1.9743940465902199
1447610780.191748,-1.0,-2.5,1.526954641931198
1447610780.2127,-1.0,-2.5,1.1242591777380782
1447610780.232886,-1.0,-2.5,0.7618332599642704
1447610780.253745,-1.0,-2.5,0.4356499339678434
1447610780.273886,-1.0,-2.5,0.14208494057105905
1447610780.294987,-1.0,-2.5,-0.12212355348604684
1447610780.315763,-1.0,-2.5,-0.35991119813744216
1447610780.336615,-1.0,-2.5,-0.573920078323698
1447610780.357165,-1.0,-2.5,-0.7665280704913282
1447610780.378259,-1.0,-2.5,-0.9398752634421953
1447610780.399368,-1.0,-2.5,-1.0958877370979758
1447610780.420059,-1.0,-2.5,-1.2362989633881782
1447610780.440342,-1.0,-2.5,-1.3626690670493604
1447610780.4613,-1.0,-2.5,-1.4764021603444244
1447610780.482367,-1.0,-2.5,-1.5787619443099818
1447610780.503428,-1.0,-2.5,-1.6708857498789835
1447610780.524442,-1.0,-2.5,-1.7537971748910852
1447610780.544615,-1.0,-2.5,-1.8284174574019765
1447610780.565379,-1.0,-2.5,-1.8955757116617789
1447610780.585618,-1.0,-2.5,-1.9560181404956007
1447610780.606496,-1.0,-2.5,-2.0104163264460406
1447610780.627168,-1.0,-2.5,-2.059374693801437
1447610780.647763,-1.0,-2.5,-2.103437224421293
1447610780.668631,-1.0,-2.5,-2.1430935019791635
1447610780.689305,-1.0,-2.5,-2.178784151781247
1447610780.710329,-1.0,-2.5,-2.2109057366031224
1447610780.730478,-1.0,-2.5,-2.2398151629428105
1447610780.750757,-1.0,-2.5,-2.2658336466485296
1447610780.772133,-1.0,-2.5,-2.289250281983677
1447610780.792757,-1.0,-2.5,-2.310325253785309
1447610780.813437,-1.0,-2.5,-2.329292728406778
1447610780.834572,-1.0,-2.5,-2.3463634555661
1447610780.855619,-1.0,-2.5,-2.36172711000949
1447610780.876562,-1.0,-2.5,-2.375554399008541
1447610780.897502,-1.0,-2.5,-2.387998959107687
1447610780.917841,-1.0,-2.5,-2.3991990631969182
1447610780.938932,-1.0,-2.5,-2.4092791568772265
1447610780.959946,-1.0,-2.5,-2.418351241189504
1447610780.980826,-1.0,-2.5,-2.4265161170705536
1447610781.001714,-1.0,-2.5,-2.4338645053634984
1447610781.021882,-1.0,-2.5,-2.4404780548271487
1447610781.042063,-1.0,-2.5,-2.446430249344434
1447610781.063108,-1.0,-2.5,-2.4517872244099905
1447610781.083376,-1.0,-2.5,-2.4566085019689914
1447610781.104547,-1.0,-2.5,-2.4609476517720923
1447610781.12533,-1.0,-2.5,-2.464852886594883
1447610781.146335,-1.0,-2.5,-2.4683675979353947
1447610781.167339,1.0,2.5,-1.9715308381418553
1447610781.188392,1.0,2.5,-1.5243777543276695
1447610781.209416,1.0,2.5,-1.1219399788949027
